Attack ID,Attack Date,Attack Time,Country / Territory,Certainty Level,Attack Type,Total Injured,Total Death,HC Facilities,HC Transport,HC Personnel,HC Supplies Assets,HC Warehouse Storage,HC Patients,HC Other,Type of Facility,Facility Other,HW Abduction,HW Arrest,HW Detention,Patient Abduction,Patient Arrest,Patient Detention
DRC006151,11/4/2021,16:00,Democratic Republic of the Congo,Confirmed," Armed or violent search of health care personnel, facility or transport, Removal of health care assets (e.g. transport, supplies, materials), Violence with individual weapons (knives, bricks, clubs, guns, grenades and improvised explosive devices (IED)",1,0,YES,NO,NO,YES,NO,NO,,Primary,,0,0,0,0,0,0
NGA006152,11/3/2021,12:00,Nigeria,Confirmed," Removal of health care assets (e.g. transport, supplies, materials), Violence with individual weapons (knives, bricks, clubs, guns, grenades and improvised explosive devices (IED)",0,0,YES,NO,NO,YES,NO,NO,,Secondary,,0,0,0,0,0,0
MMR006149,11/3/2021,Time Unknown,Myanmar,Confirmed," Violence with heavy weapons (requires more than one person to use such as firearms, tanks, missiles, bombs, mortars)",0,0,YES,NO,NO,NO,NO,NO,,Other,Staff housing,0,0,0,0,0,0
SDN006160,11/2/2021,14:01,Sudan,Confirmed," Assault (without weapons), Obstruction to health care delivery (e.g. physical, administrative, legal etc)",0,0,NO,NO,YES,NO,NO,NO,,Secondary,,0,0,0,0,0,0
MMR006148,11/1/2021,18:00-00:00,Myanmar,Confirmed," Violence with individual weapons (knives, bricks, clubs, guns, grenades and improvised explosive devices (IED)",0,1,NO,NO,NO,NO,NO,NO,,,,0,0,0,0,0,0
DRC006142,10/28/2021,14:00,Democratic Republic of the Congo,Confirmed," Armed or violent search of health care personnel, facility or transport, Obstruction to health care delivery (e.g. physical, administrative, legal etc), Psychological violence/threat of violence/intimidation, Violence with individual weapons (knives, bricks, clubs, guns, grenades and improvised explosive devices (IED)",2,0,NO,YES,NO,NO,NO,NO,,,,0,0,0,0,0,0
CAF006136,10/26/2021,14:10,Central African Republic,Confirmed," Abduction/Arrest/Detention of health personnel or patients, Psychological violence/threat of violence/intimidation, Removal of health care assets (e.g. transport, supplies, materials)",0,0,NO,YES,YES,YES,NO,NO,,Secondary,,0,0,1,0,0,0
MMR006128,10/25/2021,Time Unknown,Myanmar,Possible," Violence with individual weapons (knives, bricks, clubs, guns, grenades and improvised explosive devices (IED)",0,1,NO,NO,YES,NO,NO,NO,,,,0,0,0,0,0,0
MMR006127,10/24/2021,00:00-06:00,Myanmar,Probable," Armed or violent search of health care personnel, facility or transport, Removal of health care assets (e.g. transport, supplies, materials), Violence with individual weapons (knives, bricks, clubs, guns, grenades and improvised explosive devices (IED)",0,0,YES,NO,NO,NO,NO,NO,,Other,Private hospital,0,0,0,0,0,0
MMR006126,10/23/2021,Time Unknown,Myanmar,Possible," Violence with individual weapons (knives, bricks, clubs, guns, grenades and improvised explosive devices (IED)",0,1,NO,NO,YES,NO,NO,NO,,Other,"Medical Student, Health Care Volunteer",0,0,0,0,0,0
SYR006130,10/16/2021,19:00,Syrian Arab Republic,Probable," Violence with individual weapons (knives, bricks, clubs, guns, grenades and improvised explosive devices (IED)",1,0,NO,NO,YES,NO,NO,NO,,Tertiary,,0,0,0,0,0,0
MMR006119,10/14/2021,06:00-12:00,Myanmar,Possible," Abduction/Arrest/Detention of health personnel or patients, Armed or violent search of health care personnel, facility or transport, Psychological violence/threat of violence/intimidation",0,0,NO,NO,YES,NO,NO,NO,,Primary,,1,0,0,0,0,0
YEM006109,10/13/2021,06:00-12:00,Yemen,Confirmed," Violence with heavy weapons (requires more than one person to use such as firearms, tanks, missiles, bombs, mortars)",0,0,YES,Unknown,Unknown,Unknown,Unknown,YES,,Secondary,,0,0,0,0,0,0
CAF006114,10/6/2021,Time Unknown,Central African Republic,Confirmed," Armed or violent search of health care personnel, facility or transport, Psychological violence/threat of violence/intimidation, Removal of health care assets (e.g. transport, supplies, materials), Violence with individual weapons (knives, bricks, clubs, guns, grenades and improvised explosive devices (IED)",0,0,YES,NO,NO,YES,YES,NO,,Primary,,0,0,0,0,0,0
CAF006112,10/5/2021,Time Unknown,Central African Republic,Confirmed," Abduction/Arrest/Detention of health personnel or patients, Obstruction to health care delivery (e.g. physical, administrative, legal etc), Psychological violence/threat of violence/intimidation, Removal of health care assets (e.g. transport, supplies, materials), Violence with individual weapons (knives, bricks, clubs, guns, grenades and improvised explosive devices (IED)",0,0,NO,YES,YES,NO,NO,NO,,Other,Equipe mobile de santé,0,5,2,0,0,0
NGA006095,10/3/2021,Time Unknown,Nigeria,Confirmed," Violence with individual weapons (knives, bricks, clubs, guns, grenades and improvised explosive devices (IED)",0,2,YES,NO,NO,NO,NO,NO,,Tertiary,,0,0,0,0,0,0
MMR006117,10/2/2021,Time Unknown,Myanmar,Possible," Abduction/Arrest/Detention of health personnel or patients, Armed or violent search of health care personnel, facility or transport, Psychological violence/threat of violence/intimidation",0,0,NO,NO,NO,NO,NO,NO,Medical Student,Other,Medical Student ,1,0,0,0,0,0
NGA006094,10/2/2021,Time Unknown,Nigeria,Confirmed," Violence with individual weapons (knives, bricks, clubs, guns, grenades and improvised explosive devices (IED)",1,3,NO,NO,YES,NO,NO,NO,,,,0,0,0,0,0,0
MMR006091,9/26/2021,06:00-12:00,Myanmar,Probable," Abduction/Arrest/Detention of health personnel or patients, Armed or violent search of health care personnel, facility or transport",0,0,NO,NO,YES,NO,NO,NO,,,,1,0,0,0,0,0
oPt006147,9/26/2021,06:50,occupied Palestinian territories,Confirmed," Obstruction to health care delivery (e.g. physical, administrative, legal etc)",1,0,NO,YES,YES,NO,NO,YES,,,,0,0,0,0,0,0
MMR006087,9/24/2021,Time Unknown,Myanmar,Probable," Abduction/Arrest/Detention of health personnel or patients, Armed or violent search of health care personnel, facility or transport",0,0,NO,NO,YES,NO,NO,NO,,Mobile Clinic,,3,0,0,0,0,0
MMR006092,9/24/2021,Time Unknown,Myanmar,Probable," Abduction/Arrest/Detention of health personnel or patients, Armed or violent search of health care personnel, facility or transport",0,0,NO,NO,YES,NO,NO,NO,,,,0,3,0,0,0,0
MMR006088,9/23/2021,18:00-00:00,Myanmar,Possible," Removal of health care assets (e.g. transport, supplies, materials), Violence with individual weapons (knives, bricks, clubs, guns, grenades and improvised explosive devices (IED)",0,0,YES,NO,NO,NO,NO,NO,,Other,Lone Khin Tract District Hospital,0,0,0,0,0,0
MMR006089,9/23/2021,12:10,Myanmar,Confirmed," Abduction/Arrest/Detention of health personnel or patients, Unknown",0,0,NO,NO,YES,NO,NO,NO,,,,0,1,0,0,0,0
BFA006133,9/17/2021,19:00,Burkina Faso,Confirmed," Psychological violence/threat of violence/intimidation, Removal of health care assets (e.g. transport, supplies, materials)",0,0,YES,NO,YES,YES,YES,NO,,Primary,,0,0,0,0,0,0
oPt006146,9/17/2021,17:00,occupied Palestinian territories,Confirmed," Assault (without weapons), Obstruction to health care delivery (e.g. physical, administrative, legal etc), Violence with individual weapons (knives, bricks, clubs, guns, grenades and improvised explosive devices (IED)",2,0,NO,NO,YES,NO,NO,NO,healthcare personnel ,,,0,0,0,0,0,0
YEM006057,9/16/2021,06:00-12:00,Yemen,Confirmed," Removal of health care assets (e.g. transport, supplies, materials)",0,0,NO,YES,NO,NO,NO,NO,,Mobile Clinic,,0,0,0,0,0,0
SYR006053,9/12/2021,Time Unknown,Syrian Arab Republic,Confirmed," Removal of health care assets (e.g. transport, supplies, materials)",0,0,YES,NO,NO,YES,NO,NO,,Secondary,,0,0,0,0,0,0
BFA006135,9/11/2021,16:10,Burkina Faso,Confirmed," Obstruction to health care delivery (e.g. physical, administrative, legal etc), Removal of health care assets (e.g. transport, supplies, materials)",0,0,YES,NO,YES,YES,YES,NO,,Primary,,0,0,0,0,0,0
DRC006159,9/10/2021,Time Unknown,Democratic Republic of the Congo,Confirmed," Obstruction to health care delivery (e.g. physical, administrative, legal etc), Removal of health care assets (e.g. transport, supplies, materials)",0,0,YES,NO,NO,YES,NO,NO,,Primary,,0,0,0,0,0,0
oPt006145,9/10/2021,Time Unknown,occupied Palestinian territories,Confirmed," Violence with individual weapons (knives, bricks, clubs, guns, grenades and improvised explosive devices (IED)",1,0,NO,NO,YES,NO,NO,Unknown,health personnel ,,,0,0,0,0,0,0
oPt006144,9/10/2021,Time Unknown,occupied Palestinian territories,Confirmed," Violence with individual weapons (knives, bricks, clubs, guns, grenades and improvised explosive devices (IED)",0,0,NO,YES,YES,NO,NO,Unknown,,Other,Transport ,0,0,0,0,0,0
oPt006143,9/10/2021,Time Unknown,occupied Palestinian territories,Confirmed," Violence with individual weapons (knives, bricks, clubs, guns, grenades and improvised explosive devices (IED)",0,0,NO,YES,YES,NO,NO,Unknown,,Other,Transport ,0,0,0,0,0,0
LBY006046,9/8/2021,12:00-18:00,Libya,Probable, Assault (without weapons),0,0,NO,NO,NO,NO,NO,NO,Ministry of Health building,Other,Ministry of Health building,0,0,0,0,0,0
BFA006131,9/8/2021,14:00,Burkina Faso,Confirmed," Obstruction to health care delivery (e.g. physical, administrative, legal etc), Psychological violence/threat of violence/intimidation",0,0,NO,NO,YES,NO,NO,NO,,Primary,,0,0,0,0,0,0
BFA006132,9/8/2021,11:00,Burkina Faso,Confirmed," Abduction/Arrest/Detention of health personnel or patients, Militarization of a health care asset, Obstruction to health care delivery (e.g. physical, administrative, legal etc), Psychological violence/threat of violence/intimidation, Violence with individual weapons (knives, bricks, clubs, guns, grenades and improvised explosive devices (IED)",0,0,YES,NO,YES,NO,NO,NO,,Primary,,1,0,0,0,0,0
BFA006049,9/6/2021,07:00,Burkina Faso,Confirmed," Armed or violent search of health care personnel, facility or transport",0,1,YES,NO,YES,NO,NO,NO,,Primary,,0,0,0,0,0,0
CAF006113,9/5/2021,Time Unknown,Central African Republic,Confirmed," Armed or violent search of health care personnel, facility or transport, Removal of health care assets (e.g. transport, supplies, materials)",0,0,YES,NO,YES,YES,NO,NO,,Primary,,0,0,0,0,0,0
CAF006044,9/4/2021,11:00,Central African Republic,Confirmed," Psychological violence/threat of violence/intimidation, Removal of health care assets (e.g. transport, supplies, materials)",0,0,NO,YES,YES,YES,NO,NO,,Mobile Clinic,,0,0,0,0,0,0
