"Incident ID",Year,Month,Day,"Country Code",Country,Region,District,City,UN,INGO,ICRC,"NRCS and IFRC",NNGO,Other,"Nationals killed","Nationals wounded","Nationals kidnapped","Total nationals","Internationals killed","Internationals wounded","Internationals kidnapped","Total internationals","Total killed","Total wounded","Total kidnapped","Total affected","Gender Male","Gender Female","Gender Unknown","Means of attack","Attack context",Location,Latitude,Longitude,"Actor type","Actor name",Details,Verified,Source
#event+id,#date+year,#date+month,#date+day,#country+code,#country+name+i_en,#adm1+name+i_en,#adm2+name+i_en,#adm3+name+i_en,#affected+UN,#affected+INGO,#affected+ICRC,#affected+IFRC,#affected+NGO,#affected+other,#affected+killed+national,#affected+injured+national,#affected+kidnapped+national,#affected+total+national,#affected+killed+international,#affected+injured+international,#affected+kidnapped+international,#affected+total+international,#affected+total+killed,#affected+total+injured,#affected+total+kidnapped,#affected+total,#affected+total+m,#affected+total+f,#affected+total+i,#event+means+i_en,#event+type+i_en,#loc+type+i_en,#geo+lat,#geo+lon,#group+type+i_en,#group+name+i_en,#description+i_en,,
1717,2013,,,SY,"Syrian Arab Republic",,,,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,Unknown,Unknown,Unknown,33.509147,36.306485,Unknown,Unknown,"Note: This incident was verified by the IFRC based on an official list of names provided by the Secretary General of the Syrian Arab Red Crescent of the Syrian staff and volunteers killed in 2013. Further details were not available.
",Yes,"Focal Point"
1718,2013,,,SY,"Syrian Arab Republic",,,,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,Unknown,Unknown,Unknown,33.509147,36.306485,Unknown,Unknown,"Note: This incident was verified by the IFRC based on an official list of names provided by the Secretary General of the Syrian Arab Red Crescent of the Syrian staff and volunteers killed in 2013. Further details were not available.
",Yes,"Focal Point"
1719,2013,,,SY,"Syrian Arab Republic",,,,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,Unknown,Unknown,Unknown,33.509147,36.306485,Unknown,Unknown,"Note: This incident was verified by the IFRC based on an official list of names provided by the Secretary General of the Syrian Arab Red Crescent of the Syrian staff and volunteers killed in 2013. Further details were not available.
",Yes,"Focal Point"
1720,2013,,,SY,"Syrian Arab Republic",,,,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,Unknown,Unknown,Unknown,33.509147,36.306485,Unknown,Unknown,"Note: This incident was verified by the IFRC based on an official list of names provided by the Secretary General of the Syrian Arab Red Crescent of the Syrian staff and volunteers killed in 2013. Further details were not available.
",Yes,"Focal Point"
1721,2013,,,SY,"Syrian Arab Republic",,,,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,Unknown,Unknown,Unknown,33.509147,36.306485,Unknown,Unknown,"Note: This incident was verified by the IFRC based on an official list of names provided by the Secretary General of the Syrian Arab Red Crescent of the Syrian staff and volunteers killed in 2013. Further details were not available.
",Yes,"Focal Point"
1722,2013,,,SY,"Syrian Arab Republic",,,,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,Unknown,Unknown,Unknown,33.509147,36.306485,Unknown,Unknown,"Note: This incident was verified by the IFRC based on an official list of names provided by the Secretary General of the Syrian Arab Red Crescent of the Syrian staff and volunteers killed in 2013. Further details were not available.
",Yes,"Focal Point"
1723,2013,,,SY,"Syrian Arab Republic",,,,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,Unknown,Unknown,Unknown,33.509147,36.306485,Unknown,Unknown,"Note: This incident was verified by the IFRC based on an official list of names provided by the Secretary General of the Syrian Arab Red Crescent of the Syrian staff and volunteers killed in 2013. Further details were not available.
",Yes,"Focal Point"
1724,2013,,,SY,"Syrian Arab Republic",,,,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,Unknown,Unknown,Unknown,33.509147,36.306485,Unknown,Unknown,"Note: This incident was verified by the IFRC based on an official list of names provided by the Secretary General of the Syrian Arab Red Crescent of the Syrian staff and volunteers killed in 2013. Further details were not available.
",Yes,"Focal Point"
1725,2013,,,SY,"Syrian Arab Republic",,,,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,Unknown,Unknown,Unknown,33.509147,36.306485,Unknown,Unknown,"Note: This incident was verified by the IFRC based on an official list of names provided by the Secretary General of the Syrian Arab Red Crescent of the Syrian staff and volunteers killed in 2013. Further details were not available.
",Yes,"Focal Point"
