Country,Date,"Cumulative no. of confirmed, probable and suspected cases","Cumulative no. of confirmed, probable and suspected deaths"
Guinea,8/29/2014,648,430
Nigeria,8/29/2014,19,7
Sierra Leone,8/29/2014,1026,422
Liberia,8/29/2014,1378,694
Sierra Leone,9/5/2014,1261,491
Nigeria,9/5/2014,22,8
Liberia,9/5/2014,1871,1089
Guinea,9/5/2014,812,517
Senegal,9/5/2014,1,0
Senegal,9/8/2014,3,0
Guinea,9/8/2014,862,555
Sierra Leone,9/8/2014,1361,509
Liberia,9/8/2014,2046,1224
Nigeria,9/8/2014,21,8
Guinea,9/12/2014,861,557
Sierra Leone,9/12/2014,1424,524
Nigeria,9/12/2014,21,8
Liberia,9/12/2014,2081,1137
Senegal,9/12/2014,3,0
Senegal,9/16/2014,1,0
Sierra Leone,9/16/2014,1620,562
Guinea,9/16/2014,936,595
Nigeria,9/16/2014,21,8
Liberia,9/16/2014,2407,1296
Nigeria,9/18/2014,21,8
Guinea,9/18/2014,942,601
Sierra Leone,9/18/2014,1673,562
Liberia,9/18/2014,2710,1459
Senegal,9/18/2014,1,0
Nigeria,9/22/2014,20,8
Sierra Leone,9/22/2014,1813,593
Liberia,9/22/2014,3022,1578
Senegal,9/22/2014,1,0
Guinea,9/22/2014,1008,632
Liberia,9/24/2014,3280,1677
Guinea,9/24/2014,1022,635
Nigeria,9/24/2014,20,8
Senegal,9/24/2014,1,0
Sierra Leone,9/24/2014,1940,597
Sierra Leone,9/26/2014,2021,605
Liberia,9/26/2014,3458,1830
Senegal,9/26/2014,1,0
Guinea,9/26/2014,1074,648
Nigeria,9/26/2014,20,8
Guinea,10/1/2014,1157,710
Senegal,10/1/2014,1,0
Nigeria,10/1/2014,20,8
Sierra Leone,10/1/2014,2304,622
Liberia,10/1/2014,3696,1998
United States of America,10/3/2014,1,0
Nigeria,10/3/2014,20,8
Guinea,10/3/2014,1199,739
Liberia,10/3/2014,3834,2069
Sierra Leone,10/3/2014,2437,623
Senegal,10/3/2014,1,0
Nigeria,10/8/2014,20,8
United States of America,10/8/2014,1,0
Senegal,10/8/2014,1,0
Guinea,10/8/2014,1298,768
Sierra Leone,10/8/2014,2789,879
Liberia,10/8/2014,3924,2210
United States of America,10/10/2014,1,0
Senegal,10/10/2014,1,0
Liberia,10/10/2014,4076,2316
Nigeria,10/10/2014,20,8
Spain,10/10/2014,1,0
Guinea,10/10/2014,1350,778
Sierra Leone,10/10/2014,2950,930
United States of America,10/15/2014,2,1
Senegal,10/15/2014,1,0
Nigeria,10/15/2014,20,8
Liberia,10/15/2014,4249,2458
Spain,10/15/2014,1,0
Guinea,10/15/2014,1472,843
Sierra Leone,10/15/2014,3252,1183
Guinea,10/17/2014,1519,862
Nigeria,10/17/2014,20,8
Spain,10/17/2014,1,0
Senegal,10/17/2014,1,0
United States of America,10/17/2014,3,1
Liberia,10/17/2014,4262,2484
Sierra Leone,10/17/2014,3410,1200
Nigeria,10/22/2014,20,8
Spain,10/22/2014,1,0
United States of America,10/22/2014,3,1
Sierra Leone,10/22/2014,3706,1259
Senegal,10/22/2014,1,0
Liberia,10/22/2014,4665,2705
Guinea,10/22/2014,1540,904
Mali,10/25/2014,1,1
United States of America,10/25/2014,4,1
Sierra Leone,10/25/2014,3896,1281
Spain,10/25/2014,1,0
Senegal,10/25/2014,1,0
Nigeria,10/25/2014,20,8
Guinea,10/25/2014,1553,926
Liberia,10/25/2014,4665,2705
Liberia,10/29/2014,6535,2413
Mali,10/29/2014,1,1
Nigeria,10/29/2014,20,8
Senegal,10/29/2014,1,0
Spain,10/29/2014,1,0
Guinea,10/29/2014,1906,997
